Date,Ticker,Name,Open,High,Low,Close,Volume,ForeignNetBuy,TrustNetBuy,DealerNetBuy,RetailVolume
2026-09-21,0050.TW,元大台灣50,109.9,111.45,109.85,111.35,119595084,-15742529.0,2704000.0,15959576.0,85188979
2026-09-21,0051.TW,元大中型100,146.0,146.85,146.0,146.8,42193,114.0,0.0,1998.0,40081
2026-09-21,0052.TW,富邦科技,64.05,64.6,64.05,64.55,18938854,1439605.0,0.0,1084836.0,16414413
2026-09-21,0053.TW,元大電子,248.55,250.15,248.5,249.3,157983,4000.0,0.0,-6702.0,147281
2026-09-21,0055.TW,元大MSCI金融,50.15,50.9,49.74,50.65,895029,39001.0,0.0,229751.0,626277
2026-09-21,0056.TW,元大高股息,56.85,57.25,56.7,57.15,21847416,1157573.0,310000.0,-1649244.0,18730599
2026-09-21,0057.TW,富邦摩台,330.0,331.9,330.0,331.0,16745,0.0,0.0,348.0,16397
2026-09-21,0061.TW,元大寶滬深,24.12,24.2,24.1,24.13,108505,87394.0,0.0,-61105.0,0
2026-09-21,1101.TW,台泥,24.3,24.3,24.05,24.15,12445836,-5824469.0,1000.0,129921.0,6490446
2026-09-21,1102.TW,亞泥,35.15,35.25,34.8,35.25,4908275,293070.0,52050.0,51452.0,4511703
2026-09-21,1103.TW,嘉泥,13.25,13.25,13.05,13.15,410169,-206000.0,0.0,9000.0,195169
2026-09-21,1104.TW,環泥,26.8,26.8,26.6,26.6,467432,-360000.0,2000.0,7760.0,97672
2026-09-21,1108.TW,幸福,11.15,11.2,11.05,11.15,186518,0.0,0.0,5000.0,181518
2026-09-21,1109.TW,信大,13.4,13.4,13.35,13.4,73925,2000.0,0.0,3280.0,68645
2026-09-21,1110.TW,東泥,15.4,15.4,15.25,15.4,145292,-60000.0,0.0,7000.0,78292
2026-09-21,1201.TW,味全,11.6,11.8,11.55,11.75,3448405,339000.0,0.0,-193000.0,2916405
2026-09-21,1203.TW,味王,45.85,45.85,43.95,43.95,17990,-7000.0,0.0,3000.0,7990
2026-09-21,1210.TW,大成,52.3,52.8,52.3,52.5,968217,-223946.0,2000.0,10012.0,732259
2026-09-21,1213.TW,大飲,7.4,7.4,7.12,7.12,8213,0.0,0.0,0.0,8213
2026-09-21,1215.TW,卜蜂,110.0,110.0,107.0,107.5,659184,-435171.0,0.0,2806.0,221207
2026-09-21,1216.TW,統一,75.0,75.0,74.5,74.7,3921858,-774708.0,104103.0,1779.0,3041268
